year,field,scale,tech_type,revenue,employees,researchers,rd_cost
2020,감축,기타,전체,0.0,3.0,1.0,90.0
2021,감축,기타,전체,11539458.0,6907.0,2035.0,185296.0
2022,감축,기타,전체,296519.0,1194.0,474.0,16878.0
2019,감축,기타,전체,272573.0,732.0,144.0,23913.0
2020,감축,기타,전체,322581.0,717.0,115.0,21214.0
2021,감축,기타,전체,142135.0,242.0,39.0,17040.0
2022,감축,기타,전체,10500674.0,3719.0,1208.0,96145.0
2019,감축,기타,전체,4974.0,304.0,55.0,10105.0
2020,감축,기타,전체,12263948.0,10033.0,2583.0,428222.0
2021,감축,기타,전체,481044.0,1935.0,879.0,166777.0
2022,감축,기타,전체,352361.0,1306.0,366.0,72825.0
2019,감축,기타,전체,391735.0,1008.0,93.0,30377.0
2020,감축,기타,전체,147164.0,296.0,44.0,6153.0
2021,감축,기타,전체,10884602.0,4836.0,1115.0,143923.0
2022,감축,기타,전체,7042.0,652.0,85.0,8167.0
2019,감축,기타,전체,54714293.0,37022.0,11414.0,2286649.0
2020,감축,기타,전체,442886.0,1083.0,584.0,39397.0
2021,감축,기타,전체,1647673.0,2116.0,1004.0,101412.0
2022,감축,기타,전체,1756739.0,3248.0,707.0,58708.0
2019,감축,기타,전체,50634424.0,28732.0,8095.0,1901475.0
2020,감축,기타,전체,232571.0,1843.0,1025.0,185656.0
2021,감축,기타,전체,43323673.0,22934.0,10172.0,1897342.0
2022,감축,기타,전체,419886.0,1362.0,518.0,36663.0
2019,감축,기타,전체,652848.0,901.0,426.0,53476.0
2020,감축,기타,전체,936370.0,700.0,282.0,30199.0
2021,감축,기타,전체,604347.0,1201.0,363.0,11620.0
2022,감축,기타,전체,40476074.0,17734.0,8097.0,1653836.0
2019,감축,기타,전체,234148.0,1035.0,485.0,111548.0
2020,감축,기타,전체,43203652.0,27530.0,11093.0,2189995.0
2021,감축,기타,전체,414204.0,1944.0,579.0,47935.0
2022,감축,기타,전체,583126.0,1498.0,754.0,78495.0
2019,감축,기타,전체,859273.0,808.0,169.0,20451.0
2020,감축,기타,전체,634393.0,1543.0,262.0,24169.0
2021,감축,기타,전체,40501459.0,18909.0,8191.0,1860227.0
2022,감축,기타,전체,211198.0,2828.0,1138.0,158719.0
2019,감축,기타,전체,13660758.0,9066.0,2832.0,190935.0
2020,감축,기타,전체,446735.0,2216.0,1038.0,51398.0
2021,감축,기타,전체,455301.0,1177.0,514.0,44182.0
2022,감축,기타,전체,640204.0,2188.0,804.0,25037.0
2019,감축,기타,전체,11473067.0,2950.0,324.0,34615.0
2020,감축,기타,전체,645451.0,535.0,152.0,35703.0
2021,감축,기타,전체,10341593.0,18061.0,3579.0,563519.0
2022,감축,기타,전체,842601.0,3675.0,1304.0,40181.0
2019,감축,기타,전체,760353.0,4336.0,554.0,80978.0
2020,감축,기타,전체,750664.0,2139.0,279.0,61065.0
2021,감축,기타,전체,1387672.0,2075.0,713.0,167568.0
2022,감축,기타,전체,4321620.0,3847.0,516.0,80868.0
2019,감축,기타,전체,2278682.0,1989.0,212.0,132859.0
2020,감축,기타,전체,22268351.0,29381.0,5446.0,942999.0
2021,감축,기타,전체,911955.0,3877.0,1388.0,153152.0
2022,감축,기타,전체,802056.0,4767.0,1372.0,147553.0
2019,감축,기타,전체,612850.0,2622.0,331.0,79786.0
2020,감축,기타,전체,1375359.0,2092.0,728.0,117507.0
2021,감축,기타,전체,18218236.0,13872.0,671.0,402659.0
2022,감축,기타,전체,347894.0,2151.0,957.0,42343.0
2019,감축,기타,전체,45648146.0,64433.0,22394.0,2891118.0
2020,감축,기타,전체,2502351.0,9418.0,3676.0,287370.0
2021,감축,기타,전체,3510682.0,8248.0,2150.0,138768.0
2022,감축,기타,전체,6925672.0,6801.0,2623.0,349825.0
2019,감축,기타,전체,28652228.0,23789.0,7993.0,1156859.0
2020,감축,기타,전체,4057214.0,16177.0,5952.0,958296.0
2021,감축,기타,전체,59000220.0,69261.0,22462.0,2028958.0
2022,감축,기타,전체,1996698.0,7711.0,2881.0,260208.0
2019,감축,기타,전체,4212422.0,9892.0,2622.0,233190.0
2020,감축,기타,전체,1477372.0,2650.0,796.0,49613.0
2021,감축,기타,전체,3973328.0,6066.0,1698.0,141166.0
2022,감축,기타,전체,46329587.0,35902.0,12125.0,834127.0
2019,감축,기타,전체,1010813.0,7041.0,2339.0,510653.0
2020,감축,기타,전체,65937348.0,78260.0,23721.0,2557652.0
2021,감축,기타,전체,2081242.0,8455.0,3076.0,310568.0
2022,감축,기타,전체,4106257.0,10171.0,2816.0,174955.0
2019,감축,기타,전체,1605103.0,3087.0,846.0,106966.0
2020,감축,기타,전체,10252391.0,6436.0,2221.0,86814.0
2021,감축,기타,전체,46642682.0,43049.0,12036.0,1317428.0
2022,감축,기타,전체,1249672.0,7063.0,2726.0,560920.0
2019,감축,기타,전체,1707498.0,465.0,104.0,9010.0
2020,감축,기타,전체,46894.0,177.0,47.0,4187.0
2021,감축,기타,전체,66654.0,165.0,19.0,604.0
2022,감축,기타,전체,142462.0,108.0,35.0,2720.0
2019,감축,기타,전체,1438369.0,0.0,0.0,0.0
2020,감축,기타,전체,13119.0,15.0,3.0,1500.0
2021,감축,기타,전체,1511254.0,534.0,113.0,12833.0
2022,감축,기타,전체,18872.0,72.0,5.0,644.0
2019,감축,기타,전체,47848.0,112.0,9.0,1692.0
2021,감축,기타,전체,21217.0,23.0,6.0,2234.0
2022,감축,기타,전체,1399682.0,262.0,86.0,532.0
2019,감축,기타,전체,23634.0,66.0,6.0,7731.0
2020,감축,기타,전체,8620520.0,2497.0,1577.0,36972.0
2021,감축,기타,전체,104933.0,241.0,116.0,5134.0
2022,감축,기타,전체,127756.0,141.0,27.0,8871.0
2019,감축,기타,전체,27721.0,19.0,4.0,1984.0
2020,감축,기타,전체,120803.0,508.0,508.0,12543.0
2021,감축,기타,전체,8236189.0,1577.0,917.0,6841.0
2022,감축,기타,전체,3118.0,12.0,6.0,1600.0
2019,적응,기타,전체,13796427.0,20922.0,5953.0,961849.0
2020,적응,기타,전체,1419358.0,4797.0,1663.0,135291.0
2021,적응,기타,전체,1287332.0,2022.0,850.0,53744.0
2022,적응,기타,전체,725937.0,1068.0,297.0,23239.0
2019,적응,기타,전체,3291221.0,5114.0,548.0,54716.0
2020,적응,기타,전체,7072581.0,7923.0,2594.0,694859.0
2021,적응,기타,전체,14683310.0,21595.0,5819.0,975537.0
2022,적응,기타,전체,1652910.0,5538.0,1672.0,284595.0
2019,적응,기타,전체,1583701.0,4187.0,1200.0,61835.0
2020,적응,기타,전체,716436.0,1220.0,305.0,16347.0
2021,적응,기타,전체,618723.0,1945.0,355.0,3760.0
2022,적응,기타,전체,9847633.0,7030.0,1745.0,166938.0
2019,적응,기타,전체,263907.0,1675.0,541.0,442062.0
